year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af
2015,2015,GW1805-2-10 ,1805001WNPD,2000.0,352.0,3.0,0.0
2020,2015,GW1805-2-10 ,1805001WNPD,0.0,352.0,3.0,0.0
2025,2015,GW1805-2-10 ,1805001WNPD,10000.0,352.0,3.0,0.0
2030,2015,GW1805-2-10 ,1805001WNPD,10000.0,352.0,3.0,0.0
2035,2015,GW1805-2-10 ,1805001WNPD,10000.0,352.0,3.0,0.0
2040,2015,GW1805-2-10 ,1805001WNPD,10000.0,352.0,3.0,0.0
2015,2015,1807407BDSL,1807407WPD,0.0,399.0,65.5,0.0
2020,2015,1807407BDSL,1807407WPD,0.0,399.0,65.5,0.0
2025,2015,1807407BDSL,1807407WPD,21500.0,399.0,65.5,0.0
2030,2015,1807407BDSL,1807407WPD,21500.0,399.0,65.5,0.0
2035,2015,1807407BDSL,1807407WPD,21500.0,399.0,65.5,0.0
2040,2015,1807407BDSL,1807407WPD,21500.0,399.0,65.5,0.0
2015,2015,GW1807-4-11.04 ,1807289NPD,10495.0,579.0,3.0,0.0
2020,2015,GW1807-4-11.04 ,1807289NPD,7852.0,579.0,3.0,0.0
2025,2015,GW1807-4-11.04 ,1807289NPD,8890.0,579.0,3.0,0.0
2030,2015,GW1807-4-11.04 ,1807289NPD,10014.0,579.0,3.0,0.0
2035,2015,GW1807-4-11.04 ,1807289NPD,10707.0,579.0,3.0,0.0
2040,2015,GW1807-4-11.04 ,1807289NPD,11437.0,579.0,3.0,0.0
2015,2015,1807161GW,1807221PD,5943.12,10.0,3.0,0.0
2020,2015,1807161GW,1807221PD,15233.95662,10.0,3.0,0.0
2025,2015,1807161GW,1807221PD,15233.95662,10.0,3.0,0.0
2030,2015,1807161GW,1807221PD,15233.95662,10.0,3.0,0.0
2035,2015,1807161GW,1807221PD,15233.95662,10.0,3.0,0.0
2040,2015,1807161GW,1807221PD,15233.95662,10.0,3.0,0.0
2015,2015,1801027PD,1805099PD,830.0,10.0,44.0,0.0
2020,2015,1801027PD,1805099PD,797.0,10.0,44.0,0.0
2025,2015,1801027PD,1805099PD,797.0,10.0,44.0,0.0
2030,2015,1801027PD,1805099PD,797.0,10.0,44.0,0.0
2035,2015,1801027PD,1805099PD,797.0,10.0,44.0,0.0
2040,2015,1801027PD,1805099PD,797.0,10.0,44.0,0.0
2015,2015,SW1805SWP08,GWR1805-2-09.01 ,14200.0,73.3,352.0,0.0
2020,2015,SW1805SWP08,GWR1805-2-09.01 ,24200.0,73.3,352.0,0.0
2025,2015,SW1805SWP08,GWR1805-2-09.01 ,23900.0,73.3,352.0,0.0
2030,2015,SW1805SWP08,GWR1805-2-09.01 ,23400.0,73.3,352.0,0.0
2035,2015,SW1805SWP08,GWR1805-2-09.01 ,22600.0,73.3,352.0,0.0
2040,2015,SW1805SWP08,GWR1805-2-09.01 ,23000.0,73.3,352.0,0.0
2015,2015,GW1807-4-08,1807397PD,7717.0,579.0,65.5,0.0
2020,2015,GW1807-4-08,1807397PD,5204.0,579.0,65.5,0.0
2025,2015,GW1807-4-08,1807397PD,5870.0,579.0,65.5,0.0
2030,2015,GW1807-4-08,1807397PD,5911.0,579.0,65.5,0.0
2035,2015,GW1807-4-08,1807397PD,5880.0,579.0,65.5,0.0
2040,2015,GW1807-4-08,1807397PD,5943.0,579.0,65.5,0.0
2015,2015,GW1807-8-02.08-AB,1807009PD,2300.0,579.0,65.5,0.0
2020,2015,GW1807-8-02.08-AB,1807009PD,2218.0,579.0,65.5,0.0
2025,2015,GW1807-8-02.08-AB,1807009PD,2401.0,579.0,65.5,0.0
2030,2015,GW1807-8-02.08-AB,1807009PD,2750.0,579.0,65.5,0.0
2035,2015,GW1807-8-02.08-AB,1807009PD,3239.0,579.0,65.5,0.0
2040,2015,GW1807-8-02.08-AB,1807009PD,3364.0,579.0,65.5,0.0
2015,2015,GW1803-5-22.14 ,1803013PD,536.0,1000.0,65.5,0.0
2020,2015,GW1803-5-22.14 ,1803013PD,666.0,1000.0,65.5,0.0
2025,2015,GW1803-5-22.14 ,1803013PD,651.0,1000.0,65.5,0.0
2030,2015,GW1803-5-22.14 ,1803013PD,642.0,1000.0,65.5,0.0
2035,2015,GW1803-5-22.14 ,1803013PD,636.0,1000.0,65.5,0.0
2040,2015,GW1803-5-22.14 ,1803013PD,634.0,1000.0,65.5,0.0
2015,2015,1807161WAREC,1807161WNPD,8756.710768400242,579.0,3.0,0.0
2020,2015,1807161WAREC,1807161WNPD,13977.0,579.0,3.0,0.0
2025,2015,1807161WAREC,1807161WNPD,13027.0,579.0,3.0,0.0
2030,2015,1807161WAREC,1807161WNPD,13707.0,579.0,3.0,0.0
2035,2015,1807161WAREC,1807161WNPD,14871.0,579.0,3.0,0.0
2040,2015,1807161WAREC,1807161WNPD,16254.0,579.0,3.0,0.0
2015,2015,1807051IMP,1807202PD,420142.0,24.6696371,44.0,0.0
2020,2015,1807051IMP,1807202PD,351130.0,24.6696371,44.0,0.0
2025,2015,1807051IMP,1807202PD,359330.0,24.6696371,44.0,0.0
2030,2015,1807051IMP,1807202PD,356430.0,24.6696371,44.0,0.0
2035,2015,1807051IMP,1807202PD,349230.0,24.6696371,44.0,0.0
2040,2015,1807051IMP,1807202PD,361130.0,24.6696371,44.0,0.0
2015,2015,1807379GW,1807379PD,2900.0,24.6696371,44.0,0.0
2020,2015,1807379GW,1807379PD,2725.0,24.6696371,44.0,0.0
2025,2015,1807379GW,1807379PD,3340.0,24.6696371,44.0,0.0
2030,2015,1807379GW,1807379PD,3530.0,24.6696371,44.0,0.0
2035,2015,1807379GW,1807379PD,3550.0,24.6696371,44.0,0.0
2040,2015,1807379GW,1807379PD,3550.0,24.6696371,44.0,0.0
2015,2015,SW1805081PEN,1805045PD,2816.0,10.0,3.0,0.0
2020,2015,SW1805081PEN,1805045PD,4581.0,10.0,3.0,0.0
2025,2015,SW1805081PEN,1805045PD,4581.0,10.0,3.0,0.0
2030,2015,SW1805081PEN,1805045PD,4581.0,10.0,3.0,0.0
2035,2015,SW1805081PEN,1805045PD,4581.0,10.0,3.0,0.0
2040,2015,SW1805081PEN,1805045PD,4581.0,10.0,3.0,0.0
2015,2015,RES1807095,1807095PD,1964.0,24.6696371,44.0,0.0
2020,2015,RES1807095,1807095PD,4000.0,24.6696371,44.0,0.0
2025,2015,RES1807095,1807095PD,4000.0,24.6696371,44.0,0.0
2030,2015,RES1807095,1807095PD,4000.0,24.6696371,44.0,0.0
2035,2015,RES1807095,1807095PD,4000.0,24.6696371,44.0,0.0
2040,2015,RES1807095,1807095PD,4000.0,24.6696371,44.0,0.0
2015,2015,GW1806023,1806023PD,0.0,471.0,3.0,0.0
2020,2015,GW1806023,1806023PD,0.0,471.0,3.0,0.0
2025,2015,GW1806023,1806023PD,0.0,471.0,3.0,0.0
2030,2015,GW1806023,1806023PD,0.0,471.0,3.0,0.0
2035,2015,GW1806023,1806023PD,0.0,471.0,3.0,0.0
2040,2015,GW1806023,1806023PD,0.0,471.0,3.0,0.0
2015,2015,XFER1806017W,1806017WNPD,4847.0,10.0,44.0,0.0
2020,2015,XFER1806017W,1806017WNPD,0.0,10.0,44.0,0.0
2025,2015,XFER1806017W,1806017WNPD,0.0,10.0,44.0,0.0
2030,2015,XFER1806017W,1806017WNPD,0.0,10.0,44.0,0.0
2035,2015,XFER1806017W,1806017WNPD,0.0,10.0,44.0,0.0
2040,2015,XFER1806017W,1806017WNPD,0.0,10.0,44.0,0.0
2015,2015,GW1805-2-35,1805027PD,1979.43266325,352.0,3.0,0.0
2020,2015,GW1805-2-35,1805027PD,3839.17870035,352.0,3.0,0.0
2025,2015,GW1805-2-35,1805027PD,3839.17870035,352.0,3.0,0.0
2030,2015,GW1805-2-35,1805027PD,3839.17870035,352.0,3.0,0.0
2035,2015,GW1805-2-35,1805027PD,3839.17870035,352.0,3.0,0.0
2040,2015,GW1805-2-35,1805027PD,3839.17870035,352.0,3.0,0.0
2015,2015,1807411TREC,1807411NPD,317.0,579.0,3.0,0.0
2020,2015,1807411TREC,1807411NPD,0.0,579.0,3.0,0.0
2025,2015,1807411TREC,1807411NPD,0.0,579.0,3.0,0.0
2030,2015,1807411TREC,1807411NPD,0.0,579.0,3.0,0.0
2035,2015,1807411TREC,1807411NPD,0.0,579.0,3.0,0.0
2040,2015,1807411TREC,1807411NPD,0.0,579.0,3.0,0.0
2015,2015,SW1805081PEN,1805023PD,1687.8883175,10.0,3.0,0.0
2020,2015,SW1805081PEN,1805023PD,2455.11028,10.0,3.0,0.0
2025,2015,SW1805081PEN,1805023PD,2455.11028,10.0,3.0,0.0
2030,2015,SW1805081PEN,1805023PD,2455.11028,10.0,3.0,0.0
2035,2015,SW1805081PEN,1805023PD,2455.11028,10.0,3.0,0.0
2040,2015,SW1805081PEN,1805023PD,2455.11028,10.0,3.0,0.0
2015,2015,1807217WIMP,1807161WNPD,58906.0,10.0,44.0,0.0
2020,2015,1807217WIMP,1807161WNPD,69752.0,10.0,44.0,0.0
2025,2015,1807217WIMP,1807161WNPD,69752.0,10.0,44.0,0.0
2030,2015,1807217WIMP,1807161WNPD,69752.0,10.0,44.0,0.0
2035,2015,1807217WIMP,1807161WNPD,69752.0,10.0,44.0,0.0
2040,2015,1807217WIMP,1807161WNPD,69752.0,10.0,44.0,0.0
2015,2015,GW1807-4-04.07 ,1807231PD,3697.0,579.0,65.5,0.0
2020,2015,GW1807-4-04.07 ,1807231PD,5077.0,579.0,65.5,0.0
2025,2015,GW1807-4-04.07 ,1807231PD,5271.0,579.0,65.5,0.0
2030,2015,GW1807-4-04.07 ,1807231PD,5264.0,579.0,65.5,0.0
2035,2015,GW1807-4-04.07 ,1807231PD,5319.0,579.0,65.5,0.0
2040,2015,GW1807-4-04.07 ,1807231PD,5346.0,579.0,65.5,0.0
2015,2015,SW1801031,1801031PD,10920.0,579.0,3.0,0.0
2020,2015,SW1801031,1801031PD,13784.0,579.0,3.0,0.0
2025,2015,SW1801031,1801031PD,13784.0,579.0,3.0,0.0
2030,2015,SW1801031,1801031PD,13784.0,579.0,3.0,0.0
2035,2015,SW1801031,1801031PD,13784.0,579.0,3.0,0.0
2040,2015,SW1801031,1801031PD,13784.0,579.0,3.0,0.0
2015,2015,IMP1807398,1807398NPD,0.0,579.0,3.0,0.0
