year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af
2015,2015,0,GW1809-6-42,3787.0,0.0,0.0,0.0
2020,2015,0,GW1809-6-42,9300.0,0.0,0.0,0.0
2025,2015,0,GW1809-6-42,10444.0,0.0,0.0,0.0
2030,2015,0,GW1809-6-42,11581.0,0.0,0.0,0.0
2035,2015,0,GW1809-6-42,12640.0,0.0,0.0,0.0
2040,2015,0,GW1809-6-42,13750.0,0.0,0.0,0.0
2015,2015,GW1809-6-42,1809001PD,3787.0,362.0,65.5,0.0
2020,2015,GW1809-6-42,1809001PD,9300.0,362.0,65.5,0.0
2025,2015,GW1809-6-42,1809001PD,10444.0,362.0,65.5,0.0
2030,2015,GW1809-6-42,1809001PD,11581.0,362.0,65.5,0.0
2035,2015,GW1809-6-42,1809001PD,12640.0,362.0,65.5,0.0
2040,2015,GW1809-6-42,1809001PD,13750.0,362.0,65.5,0.0
2015,2015,1809001PD,1809001E,3787.0,163.1,,3787.0
2020,2015,1809001PD,1809001E,9300.0,163.1,,9300.0
2025,2015,1809001PD,1809001E,10444.0,163.1,,10444.0
2030,2015,1809001PD,1809001E,11581.0,163.1,,11581.0
2035,2015,1809001PD,1809001E,12640.0,163.1,,12640.0
2040,2015,1809001PD,1809001E,13750.0,163.1,,13750.0
2015,2015,0,1809039PD,262.0,0.0,0.0,0.0
2020,2015,0,1809039PD,0.0,0.0,0.0,0.0
2025,2015,0,1809039PD,0.0,0.0,0.0,0.0
2030,2015,0,1809039PD,0.0,0.0,0.0,0.0
2035,2015,0,1809039PD,0.0,0.0,0.0,0.0
2040,2015,0,1809039PD,0.0,0.0,0.0,0.0
2015,2015,1809039PD,1809001PD,262.0,10.0,0.0,0.0
2020,2015,1809039PD,1809001PD,0.0,10.0,0.0,0.0
2025,2015,1809039PD,1809001PD,0.0,10.0,0.0,0.0
2030,2015,1809039PD,1809001PD,0.0,10.0,0.0,0.0
2035,2015,1809039PD,1809001PD,0.0,10.0,0.0,0.0
2040,2015,1809039PD,1809001PD,0.0,10.0,0.0,0.0
2015,2015,1809001PD,1809001E,262.0,163.1,,262.0
2020,2015,1809001PD,1809001E,0.0,163.1,,0.0
2025,2015,1809001PD,1809001E,0.0,163.1,,0.0
2030,2015,1809001PD,1809001E,0.0,163.1,,0.0
2035,2015,1809001PD,1809001E,0.0,163.1,,0.0
2040,2015,1809001PD,1809001E,0.0,163.1,,0.0
2015,2015,0,GW1805-2-10 ,2000.0,0.0,0.0,0.0
2020,2015,0,GW1805-2-10 ,0.0,0.0,0.0,0.0
2025,2015,0,GW1805-2-10 ,10000.0,0.0,0.0,0.0
2030,2015,0,GW1805-2-10 ,10000.0,0.0,0.0,0.0
2035,2015,0,GW1805-2-10 ,10000.0,0.0,0.0,0.0
2040,2015,0,GW1805-2-10 ,10000.0,0.0,0.0,0.0
2015,2015,GW1805-2-10 ,1805001WNPD,2000.0,352.0,3.0,0.0
2020,2015,GW1805-2-10 ,1805001WNPD,0.0,352.0,3.0,0.0
2025,2015,GW1805-2-10 ,1805001WNPD,10000.0,352.0,3.0,0.0
2030,2015,GW1805-2-10 ,1805001WNPD,10000.0,352.0,3.0,0.0
2035,2015,GW1805-2-10 ,1805001WNPD,10000.0,352.0,3.0,0.0
2040,2015,GW1805-2-10 ,1805001WNPD,10000.0,352.0,3.0,0.0
2015,2015,1805001WNPD,1805001WE,2000.0,318.2,,2000.0
2020,2015,1805001WNPD,1805001WE,0.0,318.2,,0.0
2025,2015,1805001WNPD,1805001WE,10000.0,318.2,,10000.0
2030,2015,1805001WNPD,1805001WE,10000.0,318.2,,10000.0
2035,2015,1805001WNPD,1805001WE,10000.0,318.2,,10000.0
2040,2015,1805001WNPD,1805001WE,10000.0,318.2,,10000.0
2015,2015,0,NEW1805001W,0.0,0.0,0.0,0.0
2020,2015,0,NEW1805001W,0.0,0.0,0.0,0.0
2025,2015,0,NEW1805001W,0.0,0.0,0.0,0.0
2030,2015,0,NEW1805001W,0.0,0.0,0.0,0.0
2035,2015,0,NEW1805001W,0.0,0.0,0.0,0.0
2040,2015,0,NEW1805001W,0.0,0.0,0.0,0.0
2015,2015,NEW1805001W,1805001WPD,0.0,24.6696371,2409.5,0.0
2020,2015,NEW1805001W,1805001WPD,0.0,24.6696371,2409.5,0.0
2025,2015,NEW1805001W,1805001WPD,0.0,24.6696371,2409.5,0.0
2030,2015,NEW1805001W,1805001WPD,0.0,24.6696371,2409.5,0.0
2035,2015,NEW1805001W,1805001WPD,0.0,24.6696371,2409.5,0.0
2040,2015,NEW1805001W,1805001WPD,0.0,24.6696371,2409.5,0.0
2015,2015,1805001WPD,1805001WE,0.0,318.2,,0.0
2020,2015,1805001WPD,1805001WE,0.0,318.2,,0.0
2025,2015,1805001WPD,1805001WE,0.0,318.2,,0.0
2030,2015,1805001WPD,1805001WE,0.0,318.2,,0.0
2035,2015,1805001WPD,1805001WE,0.0,318.2,,0.0
2040,2015,1805001WPD,1805001WE,0.0,318.2,,0.0
2015,2015,0,SW1804SWP07,0.0,0.0,0.0,0.0
2020,2015,0,SW1804SWP07,2000.0,0.0,0.0,0.0
2025,2015,0,SW1804SWP07,2000.0,0.0,0.0,0.0
2030,2015,0,SW1804SWP07,2000.0,0.0,0.0,0.0
2035,2015,0,SW1804SWP07,2000.0,0.0,0.0,0.0
2040,2015,0,SW1804SWP07,2000.0,0.0,0.0,0.0
2015,2015,SW1804SWP07,XF_BYRON,0.0,0.0,0.0,0.0
2020,2015,SW1804SWP07,XF_BYRON,2000.0,0.0,0.0,0.0
2025,2015,SW1804SWP07,XF_BYRON,2000.0,0.0,0.0,0.0
2030,2015,SW1804SWP07,XF_BYRON,2000.0,0.0,0.0,0.0
2035,2015,SW1804SWP07,XF_BYRON,2000.0,0.0,0.0,0.0
2040,2015,SW1804SWP07,XF_BYRON,2000.0,0.0,0.0,0.0
2015,2015,XF_BYRON,1805001WPD,0.0,73.3,44.0,0.0
2020,2015,XF_BYRON,1805001WPD,2000.0,73.3,44.0,0.0
2025,2015,XF_BYRON,1805001WPD,2000.0,73.3,44.0,0.0
