,year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af
0,2010,2010,1801001PD,Arcata City of,1624,163.1,0,1624
1,2015,2010,1801001PD,Arcata City of,1693,163.1,0,1693
2,2020,2010,1801001PD,Arcata City of,1766,163.1,0,1766
3,2025,2010,1801001PD,Arcata City of,1847,163.1,0,1847
4,2030,2010,1801001PD,Arcata City of,1925,163.1,0,1925
5,2035,2010,1801001PD,Arcata City of,1925,163.1,0,1925
6,2035,2010,1801007NPD,Crescent City City of,2,195.72,0,2
7,2015,2010,1801007NPD,Crescent City City of,4,195.72,0,4
8,2020,2010,1801007NPD,Crescent City City of,4,195.72,0,4
9,2025,2010,1801007NPD,Crescent City City of,4,195.72,0,4
10,2030,2010,1801007NPD,Crescent City City of,4,195.72,0,4
11,2010,2010,1801007PD,Crescent City City of,2015.2,163.1,0,2015.2
12,2015,2010,1801007PD,Crescent City City of,2235.04,163.1,0,2235.04
13,2020,2010,1801007PD,Crescent City City of,2308.32,163.1,0,2308.32
14,2025,2010,1801007PD,Crescent City City of,2344.96,163.1,0,2344.96
15,2030,2010,1801007PD,Crescent City City of,2418.24,163.1,0,2418.24
16,2035,2010,1801007PD,Crescent City City of,2418.24,163.1,0,2418.24
17,2035,2010,1801007REC,1801007NPD,2,0,236,2
18,2015,2010,1801007REC,1801007NPD,4,0,236,4
19,2020,2010,1801007REC,1801007NPD,4,0,236,4
20,2025,2010,1801007REC,1801007NPD,4,0,236,4
21,2030,2010,1801007REC,1801007NPD,4,0,236,4
22,2015,2010,1801009PD,1801017PD,337.0030977,25,0,333.1896044
23,2030,2010,1801009PD,1801017PD,557.4296086,25,0,551.6026481
24,2035,2010,1801009PD,1801017PD,557.4296086,25,0,551.6026481
25,2020,2010,1801009PD,1801017PD,557.535517,25,0,551.6026481
26,2025,2010,1801009PD,1801017PD,557.7448366,25,0,551.6026481
27,2010,2010,1801009PD,1801017PD,561.7675055,25,0,557.003898
28,2010,2010,1801009PD,Eureka City of,2924.55,163.1,0,2924.55
29,2015,2010,1801009PD,Eureka City of,3184.51,163.1,0,3184.51
30,2020,2010,1801009PD,Eureka City of,3249.5,163.1,0,3249.5
31,2025,2010,1801009PD,Eureka City of,3379.48,163.1,0,3379.48
32,2030,2010,1801009PD,Eureka City of,3444.47,163.1,0,3444.47
33,2035,2010,1801009PD,Eureka City of,3444.47,163.1,0,3444.47
34,2010,2010,1801011PD,Fortuna City of,1350,163.1,0,1350
35,2015,2010,1801011PD,Fortuna City of,1421.64,163.1,0,1421.64
36,2020,2010,1801011PD,Fortuna City of,1525,163.1,0,1525
37,2025,2010,1801011PD,Fortuna City of,1606.77,163.1,0,1606.77
38,2030,2010,1801011PD,Fortuna City of,1707.75,163.1,0,1707.75
39,2035,2010,1801011PD,Fortuna City of,1707.75,163.1,0,1707.75
40,2010,2010,1801015PD,1801017PD,616.9228606,25,0,611.6915534
41,2020,2010,1801015PD,1801017PD,648.2350748,25,0,641.3370502
42,2025,2010,1801015PD,1801017PD,667.1588955,25,0,659.81178
43,2030,2010,1801015PD,1801017PD,688.118847,25,0,680.925757
44,2035,2010,1801015PD,1801017PD,688.118847,25,0,680.925757
45,2030,2010,1801015PD,Humboldt Bay Municipal Water District,728,163.1,0,728
46,2020,2010,1801015PD,Humboldt Bay Municipal Water District,784,163.1,0,784
47,2025,2010,1801015PD,Humboldt Bay Municipal Water District,784,163.1,0,784
48,2015,2010,1801015PD,1801017PD,819.8018619,25,0,810.5250661
49,2010,2010,1801015PD,Humboldt Bay Municipal Water District,840,163.1,0,840
50,2015,2010,1801015PD,Humboldt Bay Municipal Water District,840,163.1,0,840
51,2010,2010,1801015PD,1801019PD,1415,25,0,1414.56
52,2010,2010,1801015PD,1801001PD,1460.717391,87,0,1460.717391
53,2015,2010,1801015PD,1801001PD,1522.779891,87,0,1522.779891
54,2020,2010,1801015PD,1801001PD,1588.440217,87,0,1588.440217
55,2025,2010,1801015PD,1801001PD,1661.296196,87,0,1661.296196
56,2030,2010,1801015PD,1801001PD,1731.453804,87,0,1731.453804
57,2035,2010,1801015PD,1801001PD,1731.453804,87,0,1731.453804
58,2020,2010,1801015PD,1801019PD,1828,25,0,1809
59,2025,2010,1801015PD,1801019PD,1843,25,0,1825.2
60,2015,2010,1801015PD,1801019PD,1845,25,0,1827.9
61,2030,2010,1801015PD,1801019PD,1871,25,0,1853.1
62,2035,2010,1801015PD,1801019PD,1871,25,0,1853.1
63,2010,2010,1801015PD,1801009PD,2949,25,0,2924.55
64,2015,2010,1801015PD,1801009PD,3231,25,0,3184.51
65,2020,2010,1801015PD,1801009PD,3312,25,0,3249.5
66,2025,2010,1801015PD,1801009PD,3395,25,0,3379.48
67,2030,2010,1801015PD,1801009PD,3479,25,0,3444.47
68,2035,2010,1801015PD,1801009PD,3479,25,0,3444.47
69,2035,2010,1801015PD,Humboldt Bay Municipal Water District,12376,163.1,0,12376
70,2010,2010,1801017PD,Humboldt Community Service District,1798.335451,163.1,0,1798.335451
71,2015,2010,1801017PD,Humboldt Community Service District,1817.464671,163.1,0,1817.464671
72,2020,2010,1801017PD,Humboldt Community Service District,1855.139698,163.1,0,1855.139698
73,2025,2010,1801017PD,Humboldt Community Service District,1884.794428,163.1,0,1884.794428
74,2030,2010,1801017PD,Humboldt Community Service District,1916.228405,163.1,0,1916.228405
75,2035,2010,1801017PD,Humboldt Community Service District,1916.228405,163.1,0,1916.228405
76,2010,2010,1801019PD,McKinleyville Community Service District,1414.56,163.1,0,1414.56
77,2020,2010,1801019PD,McKinleyville Community Service District,1809,163.1,0,1809
78,2025,2010,1801019PD,McKinleyville Community Service District,1825.2,163.1,0,1825.2
79,2015,2010,1801019PD,McKinleyville Community Service District,1827.9,163.1,0,1827.9
80,2030,2010,1801019PD,McKinleyville Community Service District,1853.1,163.1,0,1853.1
81,2035,2010,1801019PD,McKinleyville Community Service District,1853.1,163.1,0,1853.1
82,2010,2010,1801021NPD,Rohnert Park City of,710,195.72,0,710
83,2015,2010,1801021NPD,Rohnert Park City of,1300,195.72,0,1300
84,2020,2010,1801021NPD,Rohnert Park City of,1300,195.72,0,1300
85,2025,2010,1801021NPD,Rohnert Park City of,1300,195.72,0,1300
86,2030,2010,1801021NPD,Rohnert Park City of,1300,195.72,0,1300
87,2035,2010,1801021NPD,Rohnert Park City of,1300,195.72,0,1300
88,2010,2010,1801021PD,Rohnert Park City of,3098.08,163.1,0,3098.08
89,2015,2010,1801021PD,Rohnert Park City of,3879.22,163.1,0,3879.22
90,2020,2010,1801021PD,Rohnert Park City of,4059.64,163.1,0,4059.64
91,2025,2010,1801021PD,Rohnert Park City of,4203,163.1,0,4203
92,2030,2010,1801021PD,Rohnert Park City of,4382.92,163.1,0,4382.92
93,2035,2010,1801021PD,Rohnert Park City of,4609.22,163.1,0,4609.22
94,2010,2010,1801021REC,1801021NPD,710,0,236,710
95,2015,2010,1801021REC,1801021NPD,1300,0,236,1300
96,2020,2010,1801021REC,1801021NPD,1300,0,236,1300
97,2025,2010,1801021REC,1801021NPD,1300,0,236,1300
98,2030,2010,1801021REC,1801021NPD,1300,0,236,1300
99,2035,2010,1801021REC,1801021NPD,1300,0,236,1300
100,2010,2010,1801023NPD,Santa Rosa City of,204,195.72,0,204
101,2015,2010,1801023NPD,Santa Rosa City of,350,195.72,0,350
102,2020,2010,1801023NPD,Santa Rosa City of,350,195.72,0,350
103,2025,2010,1801023NPD,Santa Rosa City of,1100,195.72,0,1100
104,2030,2010,1801023NPD,Santa Rosa City of,1100,195.72,0,1100
105,2035,2010,1801023NPD,Santa Rosa City of,1100,195.72,0,1100
106,2010,2010,1801023PD,Santa Rosa City of,17086.08,163.1,0,17086.08
107,2015,2010,1801023PD,Santa Rosa City of,25590.17,163.1,0,25590.17
108,2020,2010,1801023PD,Santa Rosa City of,26667.07,163.1,0,26667.07
109,2025,2010,1801023PD,Santa Rosa City of,26985.66,163.1,0,26985.66
110,2030,2010,1801023PD,Santa Rosa City of,28153.2,163.1,0,28153.2
111,2035,2010,1801023PD,Santa Rosa City of,29724.64,163.1,0,29724.64
112,2010,2010,1801023REC,1801023NPD,204,0,236,204
113,2015,2010,1801023REC,1801023NPD,350,0,236,350
114,2020,2010,1801023REC,1801023NPD,350,0,236,350
115,2025,2010,1801023REC,1801023NPD,1100,0,236,1100
116,2030,2010,1801023REC,1801023NPD,1100,0,236,1100
117,2035,2010,1801023REC,1801023NPD,1100,0,236,1100
118,2010,2010,1801027PD,1805091PD,1757.394157,25,0,1755.36
119,2010,2010,1801027PD,1805099PD,2025.680751,25,0,2024.59
120,2010,2010,1801027PD,1801021PD,2044.461809,25,0,2022.32
121,2015,2010,1801027PD,1805091PD,2232.051823,25,0,2213.7
122,2020,2010,1801027PD,1805091PD,2333.150643,25,0,2320.24
123,2025,2010,1801027PD,1805091PD,2485,25,0,2485
124,2030,2010,1801027PD,1805091PD,2576,25,0,2576
125,2015,2010,1801027PD,1801021PD,2580.283779,25,0,2565.22
126,2035,2010,1801027PD,1805091PD,2626,25,0,2626
127,2015,2010,1801027PD,1805099PD,2752.11544,25,0,2725.45
128,2020,2010,1801027PD,1805099PD,2800.137631,25,0,2784.42
129,2025,2010,1801027PD,1805099PD,2910.85289,25,0,2882.07
130,2030,2010,1801027PD,1805099PD,3006.483645,25,0,3000.48
131,2010,2010,1801027PD,Sonoma County Water Agency,3092,163.1,0,3092
132,2035,2010,1801027PD,1805099PD,3148.812207,25,0,3142.6
133,2010,2010,1801027PD,1801033PD,3303,25,0,3294.6
134,2020,2010,1801027PD,1801021PD,3420.124316,25,0,3391.42
135,2025,2010,1801027PD,1801021PD,3726.536403,25,0,3702.75
136,2015,2010,1801027PD,Sonoma County Water Agency,3865,163.1,0,3865
137,2020,2010,1801027PD,Sonoma County Water Agency,3865,163.1,0,3865
138,2025,2010,1801027PD,Sonoma County Water Agency,3865,163.1,0,3865
139,2030,2010,1801027PD,1801021PD,4049.522455,25,0,4021.92
140,2030,2010,1801027PD,Sonoma County Water Agency,4115,163.1,0,4115
141,2035,2010,1801027PD,1801021PD,4391.542934,25,0,4347.42
142,2015,2010,1801027PD,1801033PD,4655.909145,25,0,4655.58
143,2020,2010,1801027PD,1801033PD,4759.84883,25,0,4759.74
144,2035,2010,1801027PD,1801033PD,4836.181909,25,0,4836
145,2030,2010,1801027PD,1801033PD,4836.236446,25,0,4836
146,2025,2010,1801027PD,1801033PD,4837.14233,25,0,4836
147,2010,2010,1801027PD,1805071PD,6990.377625,25,0,6923.07
148,2035,2010,1801027PD,Sonoma County Water Agency,7407,163.1,0,7407
149,2020,2010,1801027PD,1805071PD,10113,25,0,10050
150,2025,2010,1801027PD,1805071PD,10579,25,0,10452
151,2015,2010,1801027PD,1805071PD,10627,25,0,10586
152,2030,2010,1801027PD,1805071PD,11048,25,0,10988
153,2035,2010,1801027PD,1805071PD,11518,25,0,11390
154,2010,2010,1801027PD,1801023PD,16382.83035,25,0,16292.32
155,2015,2010,1801027PD,1801023PD,22673.22825,25,0,22555.27
156,2020,2010,1801027PD,1801023PD,23363.511,25,0,23212.98
157,2025,2010,1801027PD,1801023PD,23564.76014,25,0,23346.45
