,year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af
0,2010,2010,1801001PD,Arcata City of,1624.0,163.1,0.0,1624.0
1,2015,2010,1801001PD,Arcata City of,1693.0,163.1,0.0,1693.0
2,2020,2010,1801001PD,Arcata City of,1766.0,163.1,0.0,1766.0
3,2025,2010,1801001PD,Arcata City of,1847.0,163.1,0.0,1847.0
4,2030,2010,1801001PD,Arcata City of,1925.0,163.1,0.0,1925.0
5,2035,2010,1801001PD,Arcata City of,1925.0,163.1,0.0,1925.0
6,2035,2010,1801007NPD,Crescent City City of,2.0,195.72,0.0,2.0
7,2015,2010,1801007NPD,Crescent City City of,4.0,195.72,0.0,4.0
8,2020,2010,1801007NPD,Crescent City City of,4.0,195.72,0.0,4.0
9,2025,2010,1801007NPD,Crescent City City of,4.0,195.72,0.0,4.0
10,2030,2010,1801007NPD,Crescent City City of,4.0,195.72,0.0,4.0
11,2010,2010,1801007PD,Crescent City City of,2015.2,163.1,0.0,2015.2
12,2015,2010,1801007PD,Crescent City City of,2235.04,163.1,0.0,2235.04
13,2020,2010,1801007PD,Crescent City City of,2308.32,163.1,0.0,2308.32
14,2025,2010,1801007PD,Crescent City City of,2344.96,163.1,0.0,2344.96
15,2030,2010,1801007PD,Crescent City City of,2418.24,163.1,0.0,2418.24
16,2035,2010,1801007PD,Crescent City City of,2418.24,163.1,0.0,2418.24
17,2035,2010,1801007REC,1801007NPD,2.0,0.0,236.0,2.0
18,2015,2010,1801007REC,1801007NPD,4.0,0.0,236.0,4.0
19,2020,2010,1801007REC,1801007NPD,4.0,0.0,236.0,4.0
20,2025,2010,1801007REC,1801007NPD,4.0,0.0,236.0,4.0
21,2030,2010,1801007REC,1801007NPD,4.0,0.0,236.0,4.0
22,2015,2010,1801009PD,1801017PD,337.0030977,25.0,0.0,333.18960439999995
23,2030,2010,1801009PD,1801017PD,557.4296086,25.0,0.0,551.6026481
24,2035,2010,1801009PD,1801017PD,557.4296086,25.0,0.0,551.6026481
25,2020,2010,1801009PD,1801017PD,557.535517,25.0,0.0,551.6026481
26,2025,2010,1801009PD,1801017PD,557.7448366,25.0,0.0,551.6026481
27,2010,2010,1801009PD,1801017PD,561.7675055,25.0,0.0,557.003898
28,2010,2010,1801009PD,Eureka City of,2924.55,163.1,0.0,2924.55
29,2015,2010,1801009PD,Eureka City of,3184.51,163.1,0.0,3184.51
30,2020,2010,1801009PD,Eureka City of,3249.5,163.1,0.0,3249.5
31,2025,2010,1801009PD,Eureka City of,3379.48,163.1,0.0,3379.48
32,2030,2010,1801009PD,Eureka City of,3444.47,163.1,0.0,3444.47
33,2035,2010,1801009PD,Eureka City of,3444.47,163.1,0.0,3444.47
34,2010,2010,1801011PD,Fortuna City of,1350.0,163.1,0.0,1350.0
35,2015,2010,1801011PD,Fortuna City of,1421.64,163.1,0.0,1421.64
36,2020,2010,1801011PD,Fortuna City of,1525.0,163.1,0.0,1525.0
37,2025,2010,1801011PD,Fortuna City of,1606.77,163.1,0.0,1606.77
38,2030,2010,1801011PD,Fortuna City of,1707.75,163.1,0.0,1707.75
39,2035,2010,1801011PD,Fortuna City of,1707.75,163.1,0.0,1707.75
40,2010,2010,1801015PD,1801017PD,616.9228606,25.0,0.0,611.6915534
41,2020,2010,1801015PD,1801017PD,648.2350748,25.0,0.0,641.3370502
42,2025,2010,1801015PD,1801017PD,667.1588955,25.0,0.0,659.81178
43,2030,2010,1801015PD,1801017PD,688.118847,25.0,0.0,680.925757
44,2035,2010,1801015PD,1801017PD,688.118847,25.0,0.0,680.925757
45,2030,2010,1801015PD,Humboldt Bay Municipal Water District,728.0,163.1,0.0,728.0
46,2020,2010,1801015PD,Humboldt Bay Municipal Water District,784.0,163.1,0.0,784.0
47,2025,2010,1801015PD,Humboldt Bay Municipal Water District,784.0,163.1,0.0,784.0
48,2015,2010,1801015PD,1801017PD,819.8018619,25.0,0.0,810.5250661
49,2010,2010,1801015PD,Humboldt Bay Municipal Water District,840.0,163.1,0.0,840.0
50,2015,2010,1801015PD,Humboldt Bay Municipal Water District,840.0,163.1,0.0,840.0
51,2010,2010,1801015PD,1801019PD,1415.0,25.0,0.0,1414.56
52,2010,2010,1801015PD,1801001PD,1460.717391,87.0,0.0,1460.717391
53,2015,2010,1801015PD,1801001PD,1522.779891,87.0,0.0,1522.779891
54,2020,2010,1801015PD,1801001PD,1588.440217,87.0,0.0,1588.440217
55,2025,2010,1801015PD,1801001PD,1661.296196,87.0,0.0,1661.296196
56,2030,2010,1801015PD,1801001PD,1731.453804,87.0,0.0,1731.453804
57,2035,2010,1801015PD,1801001PD,1731.453804,87.0,0.0,1731.453804
58,2020,2010,1801015PD,1801019PD,1828.0,25.0,0.0,1809.0
59,2025,2010,1801015PD,1801019PD,1843.0,25.0,0.0,1825.2
60,2015,2010,1801015PD,1801019PD,1845.0,25.0,0.0,1827.9
61,2030,2010,1801015PD,1801019PD,1871.0,25.0,0.0,1853.1
62,2035,2010,1801015PD,1801019PD,1871.0,25.0,0.0,1853.1
63,2010,2010,1801015PD,1801009PD,2949.0,25.0,0.0,2924.55
64,2015,2010,1801015PD,1801009PD,3231.0,25.0,0.0,3184.51
65,2020,2010,1801015PD,1801009PD,3312.0,25.0,0.0,3249.5
66,2025,2010,1801015PD,1801009PD,3395.0,25.0,0.0,3379.48
67,2030,2010,1801015PD,1801009PD,3479.0,25.0,0.0,3444.47
68,2035,2010,1801015PD,1801009PD,3479.0,25.0,0.0,3444.47
69,2035,2010,1801015PD,Humboldt Bay Municipal Water District,12376.0,163.1,0.0,12376.0
70,2010,2010,1801017PD,Humboldt Community Service District,1798.335451,163.1,0.0,1798.335451
71,2015,2010,1801017PD,Humboldt Community Service District,1817.464671,163.1,0.0,1817.464671
72,2020,2010,1801017PD,Humboldt Community Service District,1855.139698,163.1,0.0,1855.139698
73,2025,2010,1801017PD,Humboldt Community Service District,1884.794428,163.1,0.0,1884.794428
74,2030,2010,1801017PD,Humboldt Community Service District,1916.228405,163.1,0.0,1916.228405
75,2035,2010,1801017PD,Humboldt Community Service District,1916.228405,163.1,0.0,1916.228405
76,2010,2010,1801019PD,McKinleyville Community Service District,1414.56,163.1,0.0,1414.56
77,2020,2010,1801019PD,McKinleyville Community Service District,1809.0,163.1,0.0,1809.0
78,2025,2010,1801019PD,McKinleyville Community Service District,1825.2,163.1,0.0,1825.2
79,2015,2010,1801019PD,McKinleyville Community Service District,1827.9,163.1,0.0,1827.9
80,2030,2010,1801019PD,McKinleyville Community Service District,1853.1,163.1,0.0,1853.1
81,2035,2010,1801019PD,McKinleyville Community Service District,1853.1,163.1,0.0,1853.1
82,2010,2010,1801021NPD,Rohnert Park City of,710.0,195.72,0.0,710.0
83,2015,2010,1801021NPD,Rohnert Park City of,1300.0,195.72,0.0,1300.0
84,2020,2010,1801021NPD,Rohnert Park City of,1300.0,195.72,0.0,1300.0
85,2025,2010,1801021NPD,Rohnert Park City of,1300.0,195.72,0.0,1300.0
86,2030,2010,1801021NPD,Rohnert Park City of,1300.0,195.72,0.0,1300.0
87,2035,2010,1801021NPD,Rohnert Park City of,1300.0,195.72,0.0,1300.0
88,2010,2010,1801021PD,Rohnert Park City of,3098.08,163.1,0.0,3098.08
89,2015,2010,1801021PD,Rohnert Park City of,3879.22,163.1,0.0,3879.22
90,2020,2010,1801021PD,Rohnert Park City of,4059.64,163.1,0.0,4059.64
91,2025,2010,1801021PD,Rohnert Park City of,4203.0,163.1,0.0,4203.0
92,2030,2010,1801021PD,Rohnert Park City of,4382.92,163.1,0.0,4382.92
93,2035,2010,1801021PD,Rohnert Park City of,4609.22,163.1,0.0,4609.22
94,2010,2010,1801021REC,1801021NPD,710.0,0.0,236.0,710.0
95,2015,2010,1801021REC,1801021NPD,1300.0,0.0,236.0,1300.0
96,2020,2010,1801021REC,1801021NPD,1300.0,0.0,236.0,1300.0
97,2025,2010,1801021REC,1801021NPD,1300.0,0.0,236.0,1300.0
98,2030,2010,1801021REC,1801021NPD,1300.0,0.0,236.0,1300.0
99,2035,2010,1801021REC,1801021NPD,1300.0,0.0,236.0,1300.0
100,2010,2010,1801023NPD,Santa Rosa City of,204.0,195.72,0.0,204.0
101,2015,2010,1801023NPD,Santa Rosa City of,350.0,195.72,0.0,350.0
102,2020,2010,1801023NPD,Santa Rosa City of,350.0,195.72,0.0,350.0
103,2025,2010,1801023NPD,Santa Rosa City of,1100.0,195.72,0.0,1100.0
104,2030,2010,1801023NPD,Santa Rosa City of,1100.0,195.72,0.0,1100.0
105,2035,2010,1801023NPD,Santa Rosa City of,1100.0,195.72,0.0,1100.0
106,2010,2010,1801023PD,Santa Rosa City of,17086.08,163.1,0.0,17086.08
107,2015,2010,1801023PD,Santa Rosa City of,25590.17,163.1,0.0,25590.17
108,2020,2010,1801023PD,Santa Rosa City of,26667.07,163.1,0.0,26667.07
109,2025,2010,1801023PD,Santa Rosa City of,26985.66,163.1,0.0,26985.66
110,2030,2010,1801023PD,Santa Rosa City of,28153.2,163.1,0.0,28153.2
111,2035,2010,1801023PD,Santa Rosa City of,29724.64,163.1,0.0,29724.64
112,2010,2010,1801023REC,1801023NPD,204.0,0.0,236.0,204.0
113,2015,2010,1801023REC,1801023NPD,350.0,0.0,236.0,350.0
114,2020,2010,1801023REC,1801023NPD,350.0,0.0,236.0,350.0
115,2025,2010,1801023REC,1801023NPD,1100.0,0.0,236.0,1100.0
116,2030,2010,1801023REC,1801023NPD,1100.0,0.0,236.0,1100.0
