year,source,target,cumulative_volume_af,transmission_kwh/af
2010,1801001PD,1801001E,1624.0,163.1
2010,1801007PD,1801007E,2015.2,163.1
2010,1801009PD,1801009E,2924.55,163.1
2010,1801011PD,1801011E,1350.0,163.1
2010,1801015PD,1801015E,840.0,163.1
2010,1801017PD,1801017E,1798.3354510000001,163.1
2010,1801019PD,1801019E,1414.56,163.1
2010,1801021NPD,1801021E,710.0,195.72
2010,1801021PD,1801021E,3098.08,163.1
2010,1801023NPD,1801023E,204.0,195.72
2010,1801023PD,1801023E,17086.08,163.1
2010,1801027PD,1801027E,3092.0,163.1
2010,1801029PD,1801029E,591.24,163.1
2010,1801031NPD,1801031E,100.0,195.72
2010,1801031PD,1801031E,2408.65,163.1
2010,1801033PD,1801033E,3294.6,163.1
2010,1802005PD,1802005E,24446.24,17.6
2010,1802007PD,1802007E,1307.61,17.6
2010,1802009PD,1802009E,2152.15,17.6
2010,1802011PD,1802011E,2536.8,202.0
2010,1802013PD,1802013E,318.0,1000.0
2010,1802015PD,1802015E,1782.04,17.6
2010,1802019PD,1802019E,8502.48,17.6
2010,1802021PD,1802021E,13578.84,17.6
2010,1802027PD,1802027E,10650.0,17.6
2010,1802031NPD,1802031E,1542.0,21.12
2010,1802031PD,1802031E,22172.7,17.6
2010,1802033PD,1802033E,6720.0,17.6
2010,1802035PD,1802035E,10620.0,17.6
2010,1802037PD,1802037E,22606.08,17.6
2010,1802041PD,1802041E,1663.2,17.6
2010,1802043PD,1802043E,15324.54,17.6
2010,1802053PD,1802053E,8650.82,17.6
2010,1802055PD,1802055E,2635.2,17.6
2010,1802059NPD,1802059E,2500.0,21.12
2010,1802059PD,1802059E,11763.76,17.6
2010,1802063PD,1802063E,4107.8,17.6
2010,1802067PD,1802067E,5214.4,17.6
2010,1802069PD,1802069E,9958.88,17.6
2010,1802077PD,1802077E,2419.91,17.6
2010,1802079PD,1802079E,2419.0,17.6
2010,1802081NPD,1802081E,854.5,21.12
2010,1802081PD,1802081E,27140.0,17.6
2010,1802083PD,1802083E,89559.93,17.6
2010,1802085CVP,1802085E,163.2878,0.0
2010,1802085NPD,1802085E,677.0,17.6
2010,1802085PD,1802085E,27059.2,17.6
2010,1802087PD,1802087E,32664.52,17.6
2010,1802093PD,1802093E,54846.72,17.6
2010,1802097PD,1802097E,14871.6,17.6
2010,1802099NPD,1802099E,162.5,21.12
2010,1802099PD,1802099E,30161.6,17.6
2010,1802103PD,1802103E,13921.0,17.6
2010,1802105PD,1802105E,17737.92,17.6
2010,1803007PD,1803007E,4054.0,17.6
2010,1803009PD,1803009E,71002.84,321.0
2010,1803013PD,1803013E,872.95,1000.0
2010,1803015PD,1803015E,5460.0,17.6
2010,1803017PD,1803017E,29221.04,17.6
2010,1803019NPD,1803019E,1118.5,21.12
2010,1803019PD,1803019E,15212.01,17.6
2010,1803025PD,1803025E,8877.96,17.6
2010,1803027PD,1803027E,4491.9,17.6
2010,1803029PD,1803029E,7617.7,17.6
2010,1803033GW,1803033E,14116.25,17.6
2010,1803033NPD,1803033E,88.0,21.12
2010,1803033PD,1803033E,61955.79,17.6
2010,1803035PD,1803035E,1195.74,17.6
2010,1803037PD,1803037E,12170.0,17.6
2010,1803039NPD,1803039E,565.0,21.12
2010,1803039PD,1803039E,1746.86,17.6
2010,1803041IMP,1803041E,10810.97561,17.6
2010,1803041PD,1803041E,8315.09,17.6
2010,1803047PD,1803047E,7045.0,17.6
2010,1803053PD,1803053E,8491.86,17.6
2010,1803055PD,1803055E,7148.0,17.6
2010,1803063PD,1803063E,3919.26,17.6
2010,1803067PD,1803067E,4662.0,17.6
2010,1803069PD,1803069E,369.04,17.6
2010,1803071PD,1803071E,1699.5,17.6
2010,1803073NPD,1803073E,450.0,21.12
2010,1803073PD,1803073E,8770.95,17.6
2010,1803077PD,1803077E,15191.07,17.6
2010,1803079PD,1803079E,11103.59,17.6
2010,1803081PD,1803081E,4212.9,17.6
2010,1803083PD,1803083E,20141.1,64.38118549
2010,1804001PD,1804001E,16645.0,17.6
2010,1804005NPD,1804005E,17.5,21.12
2010,1804005PD,1804005E,682.24,16.43292683
2010,1804007NPD,1804007E,2603.5,21.12
2010,1804007PD,1804007E,8540.596154,17.6
2010,1804009PD,1804009E,4297.96,17.6
2010,1804011PD,1804011E,25312.74,112.0
2010,1804013PD,1804013E,6958.56,17.6
2010,1804017PD,1804017E,5377.166989,17.6
2010,1804023NPD,1804023E,481.5,21.12
2010,1804023PD,1804023E,474.63,17.6
2010,1804031NPD,1804031E,1642.0,21.12
2010,1804031PD,1804031E,13354.45,17.6
2010,1804033PD,1804033E,6907.81,17.6
2010,1804035PD,1804035E,14983.23,17.6
2010,1804039PD,1804039E,23424.39,17.6
2010,1804041PD,1804041E,30647.0,17.6
2010,1804043PD,1804043E,30297.61,17.6
2010,1804051PD,1804051E,3482.1,17.6
2010,1804062PD,1804062E,29966.75,17.6
2010,1804065PD,1804065E,14580.6,17.6
