year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af
2015,2015,1803005NPD,1803005E,733,17.6,0,733
2015,2015,SW1803005W,1803005NPD,733,87,236,0
2015,2015,1803005WIMP,1803005PD,962.9917976,0,224,0
2040,2015,SW1803005W,1803005NPD,2240,87,236,0
2025,2015,1803005NPD,1803005E,2240,17.6,0,2240
2035,2015,SW1803005W,1803005NPD,2240,87,236,0
2020,2015,1803005NPD,1803005E,2240,17.6,0,2240
2020,2015,SW1803005W,1803005NPD,2240,87,236,0
2030,2015,1803005NPD,1803005E,2240,17.6,0,2240
2030,2015,SW1803005W,1803005NPD,2240,87,236,0
2040,2015,1803005NPD,1803005E,2240,17.6,0,2240
2025,2015,SW1803005W,1803005NPD,2240,87,236,0
2035,2015,1803005NPD,1803005E,2240,17.6,0,2240
2015,2015,1803041WIMP,1803005PD,3228.972497,25,224,0
2015,2015,1803005WIMP,1803005WPD,4127.235266,25,0,0
2015,2015,1803005WPD,1803005WE,4127.235266,17.6,0,17586
2035,2015,1803005WIMP,1803005PD,4500,0,224,0
2030,2015,1803005WIMP,1803005PD,4500,0,224,0
2040,2015,1803005WIMP,1803005PD,4500,0,224,0
2020,2015,1803005WIMP,1803005PD,4500,0,224,0
2025,2015,1803005WIMP,1803005PD,4500,0,224,0
2030,2015,1803041WIMP,1803005PD,6500,25,224,0
2020,2015,1803041WIMP,1803005PD,6500,25,224,0
2025,2015,1803041WIMP,1803005PD,6500,25,224,0
2040,2015,1803041WIMP,1803005PD,6500,25,224,0
2035,2015,1803041WIMP,1803005PD,6500,25,224,0
2015,2015,R_Kern,1803005WIMP,17586,0,0,0
2015,2015,GW1803-5-22.14,1803005PD,31029.03571,399,181.75,0
2020,2015,GW1803-5-22.14,1803005PD,34389,399,181.75,0
2015,2015,1803005PD,1803005E,35221,52.8,0,35221
2025,2015,GW1803-5-22.14,1803005PD,38625,399,181.75,0
2030,2015,GW1803-5-22.14,1803005PD,43255,399,181.75,0
2035,2015,GW1803-5-22.14,1803005PD,45316,399,181.75,0
2020,2015,1803005PD,1803005E,45389,52.8,0,45389
2025,2015,1803005PD,1803005E,49625,52.8,0,49625
2040,2015,GW1803-5-22.14,1803005PD,53851,399,181.75,0
2030,2015,1803005PD,1803005E,54255,52.8,0,54255
2035,2015,1803005PD,1803005E,56316,52.8,0,56316
2040,2015,1803005PD,1803005E,64851,52.8,0,64851
2030,2015,1803005WIMP,1803005WPD,110000,25,0,0
2025,2015,1803005WIMP,1803005WPD,110000,25,0,0
2035,2015,1803005WIMP,1803005WPD,110000,25,0,0
2040,2015,1803005WIMP,1803005WPD,110000,25,0,0
2020,2015,1803005WPD,1803005WE,110000,17.6,0,135000
2030,2015,1803005WPD,1803005WE,110000,17.6,0,135000
2040,2015,1803005WPD,1803005WE,110000,17.6,0,135000
2020,2015,1803005WIMP,1803005WPD,110000,25,0,0
2035,2015,1803005WPD,1803005WE,110000,17.6,0,135000
2025,2015,1803005WPD,1803005WE,110000,17.6,0,135000
2030,2015,R_Kern,1803005WIMP,135000,0,0,0
2025,2015,R_Kern,1803005WIMP,135000,0,0,0
