source,target,value
SW1805SWP08,GWR1805-2-09.01,24900.0
GWR1805-2-09.01,1805003E,15700.0
GW1805-2-09.01,1805003PD,27307.21649
GW1805-2-09,GW1805-2-09.01,27307.21649
RES_DELVALL,1805003PD,3191.7525769999997
SW1805081EB,1805003PD,10373.19588
RES1805081,SW1805081SYS,7687.0
R_Tuolumn,RES1805081,10000.0
SW1805081SYS,SW1805081EB,11469.0
SW1805SWP08,1805003PD,2127.835052
SW1804SWP06,SW1804SWP07,106915.0
SFBayDelta,SWP_SFBayDelta,2521429.0
R_Calaveras,R_SanJoaquin,100000.0
R_Mokelumn,R_SanJoaquin,100000.0
R_Stanislaus,R_SanJoaquin,100000.0
R_Tuolumn,R_SanJoaquin,100000.0
R_SanJoaquin,SFBayDelta,100000.0
LK_ShastaCVP,R_Sacramento,352321.0
LK_TrinityCVP,R_Sacramento,352321.0
R_American,R_Sacramento,100000.0
R_AmericanSFRK,R_American,100000.0
R_AmericanMFRK,R_AmericanNFRK,100000.0
R_AmericanNFRK,R_American,100000.0
R_Feather,R_Sacramento,2521429.0
SW1802SWP01,SW1802SWP02,3492302.0
Lk_OrovilleSWP,SW1802SWP01,3492302.0
SW1802SWP02,R_Feather,3489552.0
R_Sacramento,SFBayDelta,2521429.0
SWP_SFBayDelta,SW1804SWP06,2485058.415
SW1804SWP07,SW1805SWP08,66708.51492999999
1805003PD,1805003E,43000.0
SW1805SWP08,Other,39680.679877999995
GWR1805-2-09.01,Other,9200.0
SW1805081EB,Other,1095.8041200000007
RES1805081,Other,2313.0
Other to SW1805081SYS,SW1805081SYS,3782.0
SW1804SWP06,Other,2378143.415
SFBayDelta,Other,100000.0
R_SanJoaquin,Other,300000.0
R_American,Other,100000.0
R_Feather,Other,968123.0
SW1802SWP02,Other,2750.0
R_Sacramento,Other,804642.0
SWP_SFBayDelta,Other,36370.58499999996
SW1804SWP07,Other,40206.48507000001
Other to 1805003PD,1805003PD,1.0000003385357559e-06
