source,target,value
RES_DELVALL,1805003PD,5194.132429
SW1805081EB,1805003PD,7368.733563
RES1805081,SW1805081SYS,206856.7099
R_Tuolumn,RES1805081,206856.7099
SW1805081SYS,SW1805081EB,206856.7099
1805003BGW,1805003PD,9232.517093999999
GW1805-2-09,GW1805-2-09.01,12291.21275
GW1805-2-09.01,1805003BGW,9232.517093999999
1805003GW,1805003PD,13400.0
SW1805SWP08,GWR1805-2-09.01,10341.30435
SW1804SWP06,SW1804SWP07,116902.0
SWP_SFBayDelta,SW1804SWP06,1378743.0
SW1804SWP07,SW1805SWP08,20126.0
GWR1805-2-09.01,1805003GW,10341.30435
GW1805-2-09.01,1805003GW,3058.695652
SW1805SWP08,1805003PD,16604.61691
1805003PD,1805003E,51800.0
1805003SREC,1805003NPD,3065.0
WW_1805_50,1805003SREC,3065.0
1805003NPD,1805003E,3065.0
SW1805081EB,Other,199487.976337
Other to GW1805-2-09,GW1805-2-09,12291.21275
GW1805-2-09.01,Other,4.0000013541430235e-06
1805003GW,Other,2.0000006770715117e-06
Other to SW1805SWP08,SW1805SWP08,6819.921260000003
SW1804SWP06,Other,1261841.0
Other to SWP_SFBayDelta,SWP_SFBayDelta,1378743.0
SW1804SWP07,Other,96776.0
Other to 1805003PD,1805003PD,4.0000013541430235e-06
