source,target,value
1807055PD,1807057PD,185.4380665
1807217IMP,1807055PD,22825.0
1807217IMP,1807055IMP,40618.0
SW1809SWP25,1807217IMP,443654.0
SW1809SWP25,SW1807SWP26,770742.0
SW1803SWP19,SW1809SWP24,1522401.563
SW1809SWP24,SW1809SWP25,770742.0
SW1807SWP26,1807217IMP,203915.0
SW1807SWP22,SW1807SWP23,352321.0
SW1809SWP20,SW1809SWP21,410212.0
SW1803SWP18,SW1803SWP19,1522547.936
SW1803SWP16,SW1803SWP17,1522733.2619999999
SW1803SWP17,SW1803SWP18,1522733.2619999999
SW1803SWP19,SW1809SWP20,412493.0
SW1809SWP21,SW1807SWP22,352321.0
SW1807SWP23,1807217IMP,376890.0
SW1804SWP10,SW1803SWP16,2413983.262
SWP_SFBayDelta,SW1804SWP06,2485058.415
R_Sacramento,SFBayDelta,2521429.0
SW1802SWP02,R_Feather,3489552.0
Lk_OrovilleSWP,SW1802SWP01,3492302.0
SW1802SWP01,SW1802SWP02,3492302.0
R_Feather,R_Sacramento,2521429.0
R_AmericanNFRK,R_American,100000.0
R_AmericanMFRK,R_AmericanNFRK,100000.0
R_AmericanSFRK,R_American,100000.0
R_American,R_Sacramento,100000.0
LK_TrinityCVP,R_Sacramento,352321.0
LK_ShastaCVP,R_Sacramento,352321.0
R_SanJoaquin,SFBayDelta,100000.0
R_Tuolumn,R_SanJoaquin,100000.0
R_Stanislaus,R_SanJoaquin,100000.0
R_Mokelumn,R_SanJoaquin,100000.0
R_Calaveras,R_SanJoaquin,100000.0
SFBayDelta,SWP_SFBayDelta,2521429.0
SW1804SWP06,SW1804SWP10,2485058.415
SW1803SWP16,1807217IMP,29818.0
R_COLORADO,SW_CRA,968750.0
SW_CRA,1807217IMP,968750.0
1807055IMP,1807055PD,40618.0
GW1807-4-11.04,1807055GW,174318.0
GW1807-4-11,GW1807-4-11.04,323602.497
1807055GW,1807055PD,174318.0
GW1807-4-11.04,1807057PD,5953.201375
1807057PD,1807057E,6048.0
1807057REC,1807057NPD,1870.0
WWT1807057,1807057REC,1870.0
1807057NPD,1807057E,1870.0
1807055PD,Other,237575.5619335
1807217IMP,Other,1959584.0
Other to SW1809SWP25,SW1809SWP25,443654.0
Other to SW1803SWP19,SW1803SWP19,412346.6270000001
SW1809SWP24,Other,751659.5630000001
SW1807SWP26,Other,566827.0
SW1809SWP20,Other,2281.0
SW1803SWP18,Other,185.32599999988452
SW1803SWP16,Other,861432.0000000002
SW1809SWP21,Other,57891.0
Other to SW1807SWP23,SW1807SWP23,24569.0
SW1804SWP10,Other,71075.15299999993
SWP_SFBayDelta,Other,36370.58499999996
R_Sacramento,Other,804642.0
SW1802SWP02,Other,2750.0
R_Feather,Other,968123.0
R_American,Other,100000.0
R_SanJoaquin,Other,300000.0
SFBayDelta,Other,100000.0
GW1807-4-11.04,Other,143331.29562499997
1807057PD,Other,90.63944149999952
