source,target,value
RES_1805085,1805085PD,4765.982831
GW1805-2-09,1805085PD,37888.4894
1805089WPD,1805085PD,63796.040629999996
SW1805SWP08,1805089WIMP,38002.26517
SW1804SWP06,SW1804SWP07,116902.0
SWP_SFBayDelta,SW1804SWP06,1378743.0
SW1804SWP07,SW1805SWP08,20126.0
SW_CVP-Coyot,1805089WIMP,57953.45439
SW_CVP-Gianelli,SW_CVP-Pacheco,60102.45439
SW_CVP-DMC,SW_CVP-ONL,60102.45439
CVP_SFBayDelta,SW_CVP-Tracy,60102.45439
LK_ShastaCVP,CVPR_Sacramento,769636.0721
CVPR_Sacramento,CVP_SFBayDelta,60102.45439
SW_CVP-Tracy,SW_CVP-DMC,60102.45439
SW_CVP-ONL,SW_CVP-Gianelli,60102.45439
SW_CVP-Pacheco,SW_CVP-Coyot,60102.45439
RES1805089,1805089WIMP,60771.955720000005
1805089WIMP,1805089WPD,107194.6896
1805085PD,1805085E,106450.5129
RES_1805085,1805085NPD,128.89328970000003
1805085TREC,1805085NPD,1964.0882239999999
WW_1805_2585,1805085TREC,1964.0882239999999
1805085NPD,1805085E,2092.981514
Other to GW1805-2-09,GW1805-2-09,37888.4894
1805089WPD,Other,43398.64897
Other to SW1805SWP08,SW1805SWP08,17876.26517
SW1804SWP06,Other,1261841.0
Other to SWP_SFBayDelta,SWP_SFBayDelta,1378743.0
SW1804SWP07,Other,96776.0
SW_CVP-Coyot,Other,2149.0
CVPR_Sacramento,Other,709533.61771
1805089WIMP,Other,49532.98568
Other to 1805085PD,1805085PD,3.9000005926936865e-05
Other to 1805085NPD,1805085NPD,3.000000106112566e-07
