source,target,value
1805089PD,1805085PD,66387.59332999999
SW1804SWP07,SW1805SWP08,59963.05606
SWP_SFBayDelta,SW1804SWP06,2484706.569
SFBayDelta,SWP_SFBayDelta,2521429.0
SW1804SWP06,SW1804SWP07,106915.0
SW1805SWP08,1805089PD,58934.750270000004
SW1805081SYS,SW1805081EB,11469.0
R_Tuolumn,RES1805081,10000.0
RES1805081,SW1805081SYS,7687.0
SW1805081EB,1805089PD,56172.18385
SW_CVP-Pacheco,SW_CVP-Coyot,120241.0
SW_CVP-ONL,SW_CVP-Gianelli,8613.0
CVP_SFBayDelta,SW_CVP-DMC,352321.0
R_Sacramento,SFBayDelta,2521429.0
SW1802SWP02,R_Feather,3489552.0
Lk_OrovilleSWP,SW1802SWP01,3492302.0
SW1802SWP01,SW1802SWP02,3492302.0
R_Feather,R_Sacramento,2521429.0
R_AmericanNFRK,R_American,100000.0
R_AmericanMFRK,R_AmericanNFRK,100000.0
R_AmericanSFRK,R_American,100000.0
R_American,R_Sacramento,100000.0
LK_TrinityCVP,R_Sacramento,352321.0
LK_ShastaCVP,R_Sacramento,352321.0
R_SanJoaquin,SFBayDelta,100000.0
R_Tuolumn,R_SanJoaquin,100000.0
R_Stanislaus,R_SanJoaquin,100000.0
R_Mokelumn,R_SanJoaquin,100000.0
R_Calaveras,R_SanJoaquin,100000.0
SFBayDelta,CVP_SFBayDelta,352321.0
SW_CVP-DMC,SW_CVP-ONL,8613.0
SW_CVP-Gianelli,SW_CVP-Pacheco,140323.0
SW_CVP-Coyot,1805089PD,99544.47662
RES1805089,1805089PD,65104.481929999994
GW1806-3-03,GW1806-3-03.01,59111.66737999999
GW1806-3-03.01,1805089PD,41622.66738
GW1805-2-09,GW1805-2-09.02,49055.116089999996
GW1805-2-09.02,1805089PD,25231.43996
GW1805-2-09,1805085PD,52267.571169999996
RES_1805085,1805085PD,11040.8355
1805085PD,1805085E,127712.7
1805085REC,1805085NPD,2556.0
WWT1805083,1805085REC,2556.0
1805085NPD,1805085E,2556.0
1805089PD,Other,280222.40668
SW1804SWP07,Other,46951.94394
SWP_SFBayDelta,Other,36722.430999999866
Other to SFBayDelta,SFBayDelta,252321.0
SW1804SWP06,Other,2377791.569
SW1805SWP08,Other,1028.3057899999985
Other to SW1805081SYS,SW1805081SYS,3782.0
RES1805081,Other,2313.0
Other to SW1805081EB,SW1805081EB,44703.18385
SW_CVP-Pacheco,Other,20082.0
R_Sacramento,Other,804642.0
SW1802SWP02,Other,2750.0
R_Feather,Other,968123.0
R_American,Other,100000.0
R_SanJoaquin,Other,300000.0
SW_CVP-DMC,Other,343708.0
Other to SW_CVP-Gianelli,SW_CVP-Gianelli,131710.0
SW_CVP-Coyot,Other,20696.52338
GW1806-3-03.01,Other,17488.999999999993
GW1805-2-09.02,Other,23823.676129999996
1805085PD,Other,1983.2999999999884
