source,target,value
SW1805081PEN,GWR1805-2-35,2204.0
GWR1805-2-35,1805027E,2204.0
GW1805-2-35,1805027PD,1420.310845
SW1805081PEN,1805027PD,2734.689155
SW1805081SYS,SW1805081EB,11469.0
R_Tuolumn,RES1805081,10000.0
RES1805081,SW1805081SYS,7687.0
SW1805081EB,SW1805081PEN,296955.555
1805027PD,1805027E,4130.19
1805027REC,1805027NPD,547.0
WWT1805027,1805027REC,547.0
1805027NPD,1805027E,547.0
SW1805081PEN,Other,292016.865845
Other to SW1805081SYS,SW1805081SYS,3782.0
RES1805081,Other,2313.0
Other to SW1805081EB,SW1805081EB,285486.555
1805027PD,Other,24.8100000000004
