source,target,value
SW_CVPFKC,1803033E,53100.0
1803033GW,1803033PD,39242.6571
FRES_ID,1803033PD,17678.44945
FRES_ID_GWXCH,1803033PD,4830.942623
SW_CVPFKC,1803033PD,20373.97541
RES_MLRTN,SW_CVPFKC,73984.21587999999
1803033PD,1803033E,82110.0
1803033REC,1803033NPD,500.0
1803033NPD,1803033E,500.0
GW1803-5-22.08,1803033GW,39242.6571
GW1803-5-22,GW1803-5-22.08,64390.527310000005
GWR1803-5-22.08,1803033GW,20373.97541
WWT1803033,1803033REC,20873.97541
1803033REC,GWR1803-5-22.08,20373.97541
1803033GW,1803033E,20370.0
SW_CVPFKC,Other,510.2404699999897
1803033GW,Other,3.9754099999991013
1803033PD,Other,16.024582999991253
GW1803-5-22.08,Other,25147.87021000001
