year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af
2040,2015,1802079TREC,1802079NPD,333.0,0.0,195.52499999999998,0.0
2040,2015,GW1802-5-21,1802019PD,548.1831553058616,191.0,44.0,0.0
2030,2015,1807087WNPD,1807095NPD,58.00594520768057,10.0,0.0,0.0
2025,2015,WWT1807407W,1807029TREC,5504.483636363637,291.0,0.0,0.0
2035,2015,1807301WPD,1807409PD,6319.834710743802,20.0,0.0,0.0
2040,2015,1807003TREC,1807003NPD,55.0,0.0,97.76249999999999,0.0
2030,2015,1807405WPD,1807059PD,4165.844416854195,10.0,0.0,0.0
2015,2015,WW_1807_3095,1807303TREC,606.0,10.0,0.0,0.0
2035,2015,GW1807-4-11.03,GW1807-4-11.03-AWC,1000.0,0.0,0.0,0.0
2015,2015,GW1807-4-13-AP,1807289NPD,208.0,579.0,0.0,0.0
2025,2015,GW1807-4-13-ASG ,1807005PD,11704.0,579.0,65.5,0.0
2020,2015,1807087WPD,1807181PD,269.3302325581395,10.0,0.0,0.0
2035,2015,GW1807-4-11.04-AC,1807143PD,16100.0,1824.0,196.5,0.0
2040,2015,1802059SREC,1802059NPD,1900.0,0.0,0.0,0.0
2020,2015,1807217WPD,1807407WPD,98426.0,10.0,0.0,0.0
2015,2015,GW1807-4-23-AR,1807369PD,1222.0,579.0,3.0,0.0
2040,2015,1807407BDSL,1807407WPD,1000.0,0.0,404.085,0.0
2030,2015,WW_1803_2940,1803083TREC,400.0,10.0,0.0,0.0
2025,2015,SW1803SWP16,BVWSD,1494.8071177303668,0.0,0.0,0.0
2020,2015,WW_1804_3055,1804069TREC,1500.68615865,20.0,0.0,0.0
2030,2015,WWT1807246W,1807246WAREC,27745.0,0.0,10.0,0.0
2025,2015,GW1806-3-03.01 ,1806019GW,10308.836492455612,0.0,0.0,0.0
2035,2015,1807255NPD,1807255E,280.0,587.16,0.0,280.0
2040,2015,1809039NPD,1809039E,1465.0,391.44,0.0,1465.0
2025,2015,1807227PD,1807227E,25690.9,163.1,0.0,25690.9
2040,2015,WW_1806_1185,1806031TREC,116.0,10.0,0.0,0.0
2025,2015,GW1807-4-04.07 ,1807231PD,2960.9587488667275,1158.0,131.0,0.0
2030,2015,WWT1807087W,1807087WTREC,5183.0,10.0,0.0,0.0
2020,2015,GW1805-2-04 ,1805073PD,1187.1282148103344,352.0,3.0,0.0
2040,2015,WWT1807387W,1807387WTREC,14179.999999999998,10.0,0.0,0.0
2020,2015,WW_1807_2485,1807285TREC,6430.0,10.0,0.0,0.0
2015,2015,1807095PD,1807095E,21333.0,652.4,0.0,21333.0
2025,2015,GW1807-4-11.04-AC,1807143PD,16100.0,1824.0,196.5,0.0
2040,2015,GW1810-7-21.01 ,1810011PD,26073.2711736,476.0,65.5,0.0
2020,2015,SW1801031,1801031PD,2765.9656305041176,49.3392742,88.0,0.0
2015,2015,GW1807-8-02.03-ASB,1807069PD,1564.0,579.0,404.085,0.0
2030,2015,GWSC-8-02.01-ACH,1807079PD,13859.000002175666,579.0,65.5,0.0
2040,2015,GW1807-4-13-6B,1807385PD,4975.0,579.0,65.5,0.0
2015,2015,GW1803-5-22.12 ,1803067PD,4259.6163358,399.0,65.5,0.0
2035,2015,1807398PD,1807398E,22262.0,489.29999999999995,0.0,22262.0
2025,2015,STW1807202,1807202STW,4800.060657118787,0.0,0.0,0.0
2015,2015,SW1805025,1805025WIMP,33375.35953978907,74.0089113,0.0,0.0
2040,2015,1807051WXF,1807051WPD,746.3070791261861,24.6696371,44.0,0.0
2025,2015,SW1810027,1810027PD,732.6293333333333,24.6696371,44.0,0.0
2040,2015,IMP1804062,1804062PD,6276.134636264929,24.6696371,0.0,0.0
2015,2015,1807403PD,1807403E,15799.020689655172,163.1,0.0,15799.020689655172
2025,2015,1805049TREC,1805049PD,56.34764727051064,0.0,97.76249999999999,0.0
2035,2015,1804039TREC,1804039NPD,11742.0,0.0,391.04999999999995,0.0
2040,2015,1805089GWR,1805089WPD,19787.022222222222,0.0,3.0,0.0
2015,2015,SW1810015,1810015PD,1474.2222514725722,24.6696371,44.0,0.0
2040,2015,1807317NPD,1807317E,3580.0,616.16,0.0,3580.0
2015,2015,SW1805SWP05a,SW1805SWP05axf2,3747.6080161330983,0.0,0.0,0.0
2035,2015,GW1807-4-13-ASG ,1807393PD,9200.0,579.0,0.0,0.0
2020,2015,WW_1801_1415,1801023TREC,140.0,10.0,0.0,0.0
2035,2015,GW1808-6-05.02 ,1808009PD,464.1214024466019,1062.0,18.0,0.0
2035,2015,1807101TREC,1807101NPD,1335.0,0.0,195.52499999999998,0.0
2015,2015,1807061WPD,1807063PD,4426.0,10.0,404.085,0.0
2015,2015,1807309WIMP,1807309WPD,539361.0,20.0,132.0,0.0
2025,2015,GW1802-5-21,GW1802-5-21.51 ,570.46136192256,0.0,0.0,0.0
2020,2015,GW1807-SBBA,1807409PD,5428.31043956044,579.0,65.5,0.0
2020,2015,GW1805-2-35,1805079PD,1712.070388506027,352.0,3.0,0.0
2025,2015,1805047NPD,1805047E,3087.3011771000006,1527.36,0.0,3087.3011771000006
2015,2015,SW1802041,1802041PD,1121.0,24.6696371,44.0,0.0
2040,2015,1804069NPD,1804069E,10858.032102084999,59.84,0.0,10858.032102084999
2035,2015,1807055REC,1807399TREC,800.0,10.0,0.0,0.0
2040,2015,WW_1805_830,1805031TREC,18602.115654045578,10.0,0.0,0.0
2015,2015,1807061WPD,1807061WE,26018.0,163.1,0.0,26018.0
2035,2015,GW1803-5-22.12 ,1803037PD,18046.1803488,399.0,65.5,0.0
2040,2015,1807377AREC,1807377NPD,7150.0,0.0,0.0,0.0
2030,2015,1807411WPD,1807165PD,9267.461217778464,49.3392742,0.0,0.0
2035,2015,1805043TREC,1805043NPD,3068.8878500000005,579.0,100.76249999999999,0.0
2040,2015,RES_Flsm,1802087PD,146.20530973451326,24.6696371,44.0,0.0
2040,2015,1809023PD,1809023E,128090.0,489.29999999999995,0.0,128090.0
2020,2015,1803005NPD,1803005E,2240.0,17.6,0.0,2240.0
2020,2015,1807387PD,1807035PD,2849.0,20.0,0.0,0.0
2025,2015,1802021PD,1802021E,17383.0,35.2,0.0,17383.0
2020,2015,1807355NPD,1807355E,1148.6768,587.16,0.0,1148.6768
2025,2015,SW1807297W,1807297WIMP,1892.070830342187,24.6696371,0.0,0.0
2030,2015,WW_1804_1605,1804031TREC,622.8150416228112,20.0,0.0,0.0
2030,2015,GW1807-4-04.02 ,1807303PD,10729.754433578213,579.0,65.5,0.0
2015,2015,1802075NPD,1802075E,56.0,21.12,0.0,56.0
