source,target,value
SW_CVPFKC,1803033E,53121.0
1803033GW,1803033PD,29572.94
FRES_ID,1803033PD,18266.6
SW_CVPFKC,1803033PD,14116.25
RES_MLRTN,SW_CVPFKC,67371.23
1803033PD,1803033E,61955.79
1803033REC,1803033NPD,88.0
1803033NPD,1803033E,88.0
GW1803-5-22.08,1803033GW,29572.94
GW1803-5-22,GW1803-5-22.08,49779.01
GWR1803-5-22.08,1803033GW,1e-05
WWT1803033,1803033REC,88.0
1803033REC,GWR1803-5-22.08,1e-05
1803033GW,1803033E,1e-05
SW_CVPFKC,SW_CVPFKC to other,133.97999999999593
GW1803-5-22.08,GW1803-5-22.08 to other,20206.070000000003
